"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","snr"
"X19",-0.0452510664370307,-0.0348629069279654,0.955154270323024,15.5,-2.55284764821267,2.46234551533861,2.1
"X2",0.264593025497523,0.169169223264569,0.865763997973031,6.2,-2.81076943512932,3.33995548612437,2.1
"X20",-0.0377058046236634,-0.0332991363081224,0.969947268097328,15.1,-2.4679913041766,2.39257969492927,2.1
"X3",0.349000867466619,0.188633233351224,0.850469336840807,4.7,-3.2479978360554,3.94599957098864,2.1
"X4",0.258754121606036,0.136273623908803,0.891701822740487,5.9,-3.46066671805479,3.97817496126686,2.1
"X5",0.256442047794879,0.115531528159796,0.908126941593544,5.9,-4.16994455386885,4.68282864945861,2.1
"X6",0.544864991091108,0.187630622905497,0.851246727851691,3,-5.08420506206044,6.17393504424265,2.1
"X7",1.1407428189101,0.307956418304504,0.758140069294967,1.9,-6.12896330121166,8.41044893903186,2.1
"X8",1.42456995763978,0.41198072127238,0.680438830874479,1.1,-5.36133247005788,8.21047238533743,2.1
"X9",-0.0384290611368855,-0.029749474843662,0.970771609130193,14.7,-2.720237668775,2.64337954650123,2.1
