"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X5",3.95839885464179,12.9829658315824,2.87945278083228e-36,5.5,3.36065660539624,4.55614110388733,2
"X6",8.55248256306248,14.1960948925798,1.0373388055163e-37,3,7.36862265171397,9.73634247441098,2
"X7",15.4333622973756,15.056319494816,1.21895937085172e-47,2,13.4235443864914,17.4431802082598,2
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,1,21.1667763113412,27.402173620098,2
"X9",0.00138340718568047,0.361910962108617,0.723254855672318,15,-0.00423610200451408,0.00700291637587502,2
"X1",8.92393236935882,14.298959906338,1.84307845386823e-40,3.3,7.69318819532812,10.1546765433895,3
"X10",0.00112461540157391,0.266233513866926,0.799470240777671,15.6,-0.0029551140148001,0.00520434481794793,3
"X11",0.00175606454864611,0.340764857475908,0.748109108582378,15.5,-0.00351613609827653,0.00702826519556874,3
"X12",0.00167067790888136,0.320208359190957,0.77207252826588,16,-0.00297955789671635,0.00632091371447907,3
"X13",0.00349010004202719,0.587601952603485,0.582757605098409,12.8,-0.00498773785365564,0.01196793793771,3
"X14",0.0031413938641831,0.522989802093628,0.62031464801735,13.5,-0.00523961481310786,0.0115224025414741,3
"X15",0.0034309323665294,0.602502811278414,0.563703822943367,12,-0.00559814867025851,0.0124600134033173,3
"X16",0.00114422731679302,0.318670385960892,0.756485445816455,15.5,-0.00361408194661244,0.00590253658019848,3
"X17",0.00266480410465748,0.491175636273094,0.638868918288579,13.7,-0.00520512550834334,0.0105347337176583,3
"X18",0.00124288906204354,0.286510118621693,0.78295422046226,16,-0.0033720682329695,0.00585784635705658,3
"X19",0.00109495801112772,0.316545330062364,0.755778010869986,14.9,-0.00395432238718526,0.0061442384094407,3
"X2",2.09814440542231,11.2525494203242,1.05139956788566e-25,8,1.73164853584478,2.46464027499984,3
"X20",0.002571973828422,0.482422330987329,0.646027800236953,13.5,-0.00461624589224492,0.00976019354908893,3
"X3",3.80475811299471,12.8626229396887,6.45600337657611e-30,6.2,3.22374078454436,4.38577544144506,3
