"Features","test.statistics","p.val","rejection","R","beta1"
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,5
"X13",0.691692786226424,0.345200261824901,0.2,0.0289988770082028,5
"X14",0.809516733205142,0.382092441229875,0.2,0.0368426115768701,5
"X15",-0.400520133529796,0.299799321670328,0.2,-0.0166103942031841,5
"X16",0.354975108381539,0.564550593247643,0,0.0155987537630958,5
"X17",0.12524899692051,0.403411656725813,0.1,0.00637280741879502,5
"X18",0.0580087399598298,0.618721343257469,0,0.00282407589737305,5
"X19",-0.0639467281420183,0.554253977906739,0,-0.00220240676589498,5
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,5
"X20",0.0878038503942349,0.425653544823703,0,0.00475649936780354,5
"X3",14.9221462123884,7.16877089902927e-42,1,1.90956698311592,5
"X4",15.1121931465018,3.30143704094168e-48,1,1.95080887145718,5
"X5",15.0448078474406,3.34044927742544e-46,1,1.97075090539178,5
"X6",15.4358591672391,1.74971879398113e-46,1,2.83335871939665,5
"X7",15.8045567158016,1.65325646459775e-52,1,3.8792714479276,5
"X8",15.706579044738,1.29740476215909e-47,1,4.85090808827853,5
"X9",0.0124349782190657,0.506338377017838,0,0.000528896203177238,5
"X1",15.6441048584998,1.0797795360441e-46,1,5.90987053603644,6
"X10",-0.253825974212318,0.649908281706482,0,-0.0112075625045985,6
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,6
"X12",-0.531427187064459,0.622703635417915,0.1,-0.0226619217762987,6
"X13",0.691692786226425,0.345200261824901,0.2,0.0289988770082028,6
"X14",0.809516733205141,0.382092441229875,0.2,0.03684261157687,6
"X15",-0.400520133529797,0.299799321670327,0.2,-0.0166103942031841,6
"X16",0.354975108381539,0.564550593247642,0,0.0155987537630958,6
"X17",0.125248996920512,0.403411656725814,0.1,0.0063728074187951,6
"X18",0.0580087399598301,0.618721343257469,0,0.00282407589737307,6
"X19",-0.0639467281420181,0.554253977906739,0,-0.00220240676589498,6
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,6
"X20",0.0878038503942339,0.425653544823703,0,0.00475649936780351,6
"X3",14.9221462123884,7.16877089902909e-42,1,1.90956698311592,6
"X4",15.1121931465018,3.3014370409415e-48,1,1.95080887145718,6
"X5",15.0448078474406,3.34044927742494e-46,1,1.97075090539178,6
"X6",15.435859167239,1.74971879398113e-46,1,2.83335871939665,6
"X7",15.8045567158016,1.65325646459767e-52,1,3.8792714479276,6
"X8",15.706579044738,1.29740476215914e-47,1,4.85090808827853,6
"X9",0.0124349782190658,0.506338377017839,0,0.000528896203177235,6
"X1",15.6688449347715,7.6571231171223e-47,1,6.89271575313132,7
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,7
"X11",-0.571874529739733,0.581112108860899,0,-0.0247057366060848,7
